member_casual,round_trip,day_of_week,month,year,ride_length
casual,No,Tuesday,January,2017,16.63
member,No,Tuesday,January,2017,8.05
casual,Yes,Tuesday,January,2017,22.35
member,Yes,Tuesday,January,2017,7.23
casual,No,Wednesday,January,2017,14.94
member,No,Wednesday,January,2017,7.87
casual,Yes,Wednesday,January,2017,19.61
member,Yes,Wednesday,January,2017,9.36
casual,No,Friday,March,2017,22.37
member,No,Friday,March,2017,8.40
casual,Yes,Friday,March,2017,28.83
member,Yes,Friday,March,2017,9.58
casual,No,Monday,March,2017,21.13
member,No,Monday,March,2017,8.35
casual,Yes,Monday,March,2017,25.40
member,Yes,Monday,March,2017,8.12
casual,No,Saturday,March,2017,20.85
member,No,Saturday,March,2017,7.93
casual,Yes,Saturday,March,2017,25.63
member,Yes,Saturday,March,2017,10.02
casual,No,Sunday,March,2017,23.09
