member_casual,round_trip,day_of_week,month,year,ride_length
casual,No,Monday,June,2020,20.02
member,No,Monday,June,2020,12.90
casual,Yes,Monday,June,2020,43.99
member,Yes,Monday,June,2020,19.43
casual,No,Saturday,June,2020,22.72
member,No,Saturday,June,2020,15.55
casual,Yes,Saturday,June,2020,50.15
member,Yes,Saturday,June,2020,16.15
casual,No,Sunday,June,2020,23.87
member,No,Sunday,June,2020,16.18
casual,Yes,Sunday,June,2020,53.21
member,Yes,Sunday,June,2020,18.50
casual,No,Thursday,June,2020,20.20
member,No,Thursday,June,2020,13.90
casual,Yes,Thursday,June,2020,48.43
member,Yes,Thursday,June,2020,20.47
casual,No,Tuesday,June,2020,20.13
member,No,Tuesday,June,2020,13.32
casual,Yes,Tuesday,June,2020,47.23
member,Yes,Tuesday,June,2020,19.98
casual,No,Wednesday,June,2020,19.50
member,No,Wednesday,June,2020,13.40
casual,Yes,Wednesday,June,2020,44.53
member,Yes,Wednesday,June,2020,18.95
casual,No,Friday,May,2020,21.10
member,No,Friday,May,2020,14.32
casual,Yes,Friday,May,2020,46.03
member,Yes,Friday,May,2020,21.80
casual,No,Monday,May,2020,23.05
member,No,Monday,May,2020,14.50
casual,Yes,Monday,May,2020,47.97
member,Yes,Monday,May,2020,21.52
casual,No,Saturday,May,2020,24.68
member,No,Saturday,May,2020,17.03
casual,Yes,Saturday,May,2020,50.92
member,Yes,Saturday,May,2020,21.09
casual,No,Sunday,May,2020,24.77
member,No,Sunday,May,2020,16.73
casual,Yes,Sunday,May,2020,55.32
member,Yes,Sunday,May,2020,20.89
casual,No,Thursday,May,2020,19.50
member,No,Thursday,May,2020,13.20
casual,Yes,Thursday,May,2020,39.42
member,Yes,Thursday,May,2020,22.55
casual,No,Tuesday,May,2020,19.40
member,No,Tuesday,May,2020,12.95
casual,Yes,Tuesday,May,2020,41.68
member,Yes,Tuesday,May,2020,21.50
casual,No,Wednesday,May,2020,20.58
member,No,Wednesday,May,2020,13.82
casual,Yes,Wednesday,May,2020,42.23
member,Yes,Wednesday,May,2020,20.85
casual,No,Friday,November,2020,15.13
member,No,Friday,November,2020,9.88
casual,Yes,Friday,November,2020,36.96
member,Yes,Friday,November,2020,13.53
casual,No,Monday,November,2020,13.65
member,No,Monday,November,2020,8.97
casual,Yes,Monday,November,2020,35.22
member,Yes,Monday,November,2020,12.08
casual,No,Saturday,November,2020,19.90
member,No,Saturday,November,2020,11.35
casual,Yes,Saturday,November,2020,38.42
member,Yes,Saturday,November,2020,11.40
casual,No,Sunday,November,2020,18.08
member,No,Sunday,November,2020,10.30
casual,Yes,Sunday,November,2020,40.43
member,Yes,Sunday,November,2020,12.25
casual,No,Thursday,November,2020,13.44
member,No,Thursday,November,2020,9.43
casual,Yes,Thursday,November,2020,34.18
member,Yes,Thursday,November,2020,14.67
casual,No,Tuesday,November,2020,12.48
member,No,Tuesday,November,2020,9.05
casual,Yes,Tuesday,November,2020,31.93
member,Yes,Tuesday,November,2020,12.82
casual,No,Wednesday,November,2020,12.68
member,No,Wednesday,November,2020,9.10
casual,Yes,Wednesday,November,2020,34.73
member,Yes,Wednesday,November,2020,13.17
casual,No,Friday,October,2020,14.97
member,No,Friday,October,2020,9.77
casual,Yes,Friday,October,2020,35.16
member,Yes,Friday,October,2020,10.57
casual,No,Monday,October,2020,12.75
member,No,Monday,October,2020,9.05
casual,Yes,Monday,October,2020,32.24
member,Yes,Monday,October,2020,10.88
casual,No,Saturday,October,2020,18.55
member,No,Saturday,October,2020,11.03
casual,Yes,Saturday,October,2020,38.07
member,Yes,Saturday,October,2020,8.47
casual,No,Sunday,October,2020,17.88
member,No,Sunday,October,2020,10.75
casual,Yes,Sunday,October,2020,35.47
member,Yes,Sunday,October,2020,9.73
casual,No,Thursday,October,2020,13.10
member,No,Thursday,October,2020,9.57
casual,Yes,Thursday,October,2020,30.93
member,Yes,Thursday,October,2020,11.95
casual,No,Tuesday,October,2020,14.02
member,No,Tuesday,October,2020,9.77
casual,Yes,Tuesday,October,2020,31.18
member,Yes,Tuesday,October,2020,10.91
casual,No,Wednesday,October,2020,13.97
member,No,Wednesday,October,2020,9.92
casual,Yes,Wednesday,October,2020,34.13
member,Yes,Wednesday,October,2020,13.60
casual,No,Friday,September,2020,17.08
member,No,Friday,September,2020,11.05
casual,Yes,Friday,September,2020,37.75
member,Yes,Friday,September,2020,11.54
casual,No,Monday,September,2020,18.43
member,No,Monday,September,2020,10.87
casual,Yes,Monday,September,2020,43.02
member,Yes,Monday,September,2020,12.23
casual,No,Saturday,September,2020,20.90
member,No,Saturday,September,2020,12.57
casual,Yes,Saturday,September,2020,41.05
member,Yes,Saturday,September,2020,7.76
casual,No,Sunday,September,2020,20.43
member,No,Sunday,September,2020,12.58
casual,Yes,Sunday,September,2020,45.96
member,Yes,Sunday,September,2020,10.22
casual,No,Thursday,September,2020,15.32
member,No,Thursday,September,2020,10.47
casual,Yes,Thursday,September,2020,36.37
member,Yes,Thursday,September,2020,12.22
casual,No,Tuesday,September,2020,14.63
member,No,Tuesday,September,2020,10.25
casual,Yes,Tuesday,September,2020,37.50
member,Yes,Tuesday,September,2020,13.03
casual,No,Wednesday,September,2020,15.37
member,No,Wednesday,September,2020,10.63
casual,Yes,Wednesday,September,2020,36.39
member,Yes,Wednesday,September,2020,12.75
casual,No,Friday,April,2021,18.03
member,No,Friday,April,2021,10.86
casual,Yes,Friday,April,2021,31.83
member,Yes,Friday,April,2021,10.18
casual,No,Monday,April,2021,19.38
member,No,Monday,April,2021,10.98
casual,Yes,Monday,April,2021,40.80
member,Yes,Monday,April,2021,11.73
casual,No,Saturday,April,2021,22.55
member,No,Saturday,April,2021,12.47
casual,Yes,Saturday,April,2021,41.73
member,Yes,Saturday,April,2021,9.13
casual,No,Sunday,April,2021,23.67
member,No,Sunday,April,2021,13.53
casual,Yes,Sunday,April,2021,41.88
member,Yes,Sunday,April,2021,11.90
casual,No,Thursday,April,2021,14.90
member,No,Thursday,April,2021,10.25
casual,Yes,Thursday,April,2021,30.22
member,Yes,Thursday,April,2021,9.24
casual,No,Tuesday,April,2021,18.43
member,No,Tuesday,April,2021,10.88
casual,Yes,Tuesday,April,2021,37.60
member,Yes,Tuesday,April,2021,14.90
casual,No,Wednesday,April,2021,15.57
member,No,Wednesday,April,2021,10.17
casual,Yes,Wednesday,April,2021,41.32
member,Yes,Wednesday,April,2021,11.83
casual,No,Friday,February,2021,16.29
member,No,Friday,February,2021,10.45
casual,Yes,Friday,February,2021,28.08
member,Yes,Friday,February,2021,7.86
casual,No,Monday,February,2021,14.73
member,No,Monday,February,2021,10.77
casual,Yes,Monday,February,2021,21.63
member,Yes,Monday,February,2021,6.63
casual,No,Saturday,February,2021,22.40
member,No,Saturday,February,2021,12.73
casual,Yes,Saturday,February,2021,34.19
member,Yes,Saturday,February,2021,9.85
casual,No,Sunday,February,2021,17.38
member,No,Sunday,February,2021,10.68
casual,Yes,Sunday,February,2021,34.26
member,Yes,Sunday,February,2021,11.61
casual,No,Thursday,February,2021,12.47
member,No,Thursday,February,2021,10.55
casual,Yes,Thursday,February,2021,29.42
member,Yes,Thursday,February,2021,13.51
casual,No,Tuesday,February,2021,15.73
member,No,Tuesday,February,2021,10.57
casual,Yes,Tuesday,February,2021,21.60
member,Yes,Tuesday,February,2021,12.45
casual,No,Wednesday,February,2021,14.27
